epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07773,3.44365,5.91147,4.3613,0,0,0,0,3.47372,5.74518,4.1565,0.0028,0.0028,0.0958
2,4.99274,3.46626,5.87181,4.32741,0,0,0,0,3.4749,5.73418,4.14604,0.005406,0.005406,0.090406
3,6.76497,3.40009,5.85035,4.25438,0,0,0,0,3.47579,5.72833,4.13737,0.0073784,0.0073784,0.0843784
4,8.62004,3.45839,5.81393,4.24709,0,0,0,0,3.47763,5.72004,4.12703,0.0087172,0.0087172,0.0777172
5,10.3622,3.46002,5.77046,4.18202,0,0,0,0,3.48101,5.71154,4.11449,0.0094224,0.0094224,0.0704224
6,12.2364,3.46759,5.67716,4.16397,0,0,0,0,3.48237,5.705,4.10143,0.009494,0.009494,0.062494
7,13.9974,3.4404,5.6076,4.12973,0,0,0,0,3.4843,5.70375,4.09192,0.008932,0.008932,0.053932
8,15.8364,3.35188,5.5452,4.09004,0,0,0,0,3.48372,5.70678,4.08591,0.0077364,0.0077364,0.0447364
9,17.687,3.37021,5.52768,4.06682,0,0,0,0,3.48115,5.71419,4.08309,0.0059072,0.0059072,0.0349072
10,19.5647,3.3951,5.48154,4.01643,0,0,0,0,3.47957,5.71926,4.08397,0.0034444,0.0034444,0.0244444
