epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50729,1.17387,1.34016,1.19091,0.63216,0.52446,0.6012,0.4399,1.09368,1.13998,1.12789,8.33e-06,8.33e-06,8.33e-06
2,5.97016,1.16918,1.44597,1.20978,0.62184,0.5624,0.61793,0.45315,1.08345,1.10857,1.1234,1.60829e-05,1.60829e-05,1.60829e-05
3,8.208,1.16847,1.34521,1.19268,0.63644,0.56725,0.63877,0.47051,1.0759,1.09247,1.11808,2.19507e-05,2.19507e-05,2.19507e-05
4,10.5272,1.17788,1.26813,1.19187,0.65967,0.57313,0.65104,0.4827,1.06903,1.06881,1.11297,2.59337e-05,2.59337e-05,2.59337e-05
5,12.737,1.13952,1.29972,1.17508,0.6407,0.59532,0.66714,0.49356,1.06051,1.04388,1.10579,2.80316e-05,2.80316e-05,2.80316e-05
6,14.9997,1.12763,1.25557,1.17498,0.66716,0.61546,0.68457,0.50992,1.04813,1.01676,1.0973,2.82447e-05,2.82447e-05,2.82447e-05
7,17.3602,1.1026,1.12997,1.16296,0.67383,0.61901,0.69184,0.51557,1.04083,0.99845,1.09315,2.65727e-05,2.65727e-05,2.65727e-05
8,19.6608,1.12276,1.21648,1.18234,0.65302,0.65233,0.69694,0.52177,1.03501,0.98305,1.09111,2.30158e-05,2.30158e-05,2.30158e-05
9,21.9196,1.07109,1.13742,1.14764,0.66731,0.65692,0.69922,0.5248,1.02846,0.97103,1.08662,1.75739e-05,1.75739e-05,1.75739e-05
10,24.274,1.06087,1.112,1.12253,0.66882,0.66357,0.69975,0.52673,1.02747,0.96756,1.08683,1.02471e-05,1.02471e-05,1.02471e-05
